odor,gill-color,stalk-surface-above-ring,stalk-surface-below-ring,class
l,n,s,y,e
n,k,s,s,e
l,k,s,s,e
l,w,s,s,e
l,w,s,s,e
l,n,s,s,e
l,n,s,y,e
a,p,s,y,e
a,w,s,y,e
l,w,s,s,e
a,w,s,s,e
p,n,s,s,p
a,p,s,s,e
l,w,s,s,e
l,p,s,s,e
a,n,s,s,e
l,w,s,y,e
n,p,f,s,e
a,w,s,y,e
p,p,s,s,p
n,g,s,s,e
l,w,s,s,e
l,n,s,s,e
l,k,s,s,e
n,k,s,s,e
a,w,s,s,e
l,g,s,s,e
a,g,s,s,e
l,w,s,y,e
p,k,s,s,p
a,n,s,s,e
a,n,s,s,e
l,w,s,s,e
n,g,s,s,e
n,p,s,s,e
a,g,s,s,e
a,k,s,s,e
p,w,s,s,p
l,n,s,s,e
p,w,s,s,p
l,k,s,s,e
a,k,s,s,e
a,n,s,y,e
a,w,s,y,e
a,w,s,y,e
a,w,s,s,e
n,h,s,s,e
l,k,s,s,e
p,w,s,s,p
a,n,s,s,e
n,p,s,s,e
l,k,s,s,e
l,n,s,s,e
a,n,s,y,e
a,g,s,s,e
a,g,s,s,e
l,n,s,y,e
n,p,s,s,e
n,g,s,s,e
l,n,s,s,e
l,n,s,s,e
l,k,s,s,e
a,g,s,s,e
a,g,s,s,e
a,k,s,s,e
n,p,f,f,e
a,p,s,s,e
p,p,s,s,p
n,k,f,s,e
a,w,s,s,e
l,w,s,s,e
a,n,s,s,e
l,g,s,s,e
n,p,s,s,e
l,k,s,s,e
l,g,s,s,e
a,p,s,y,e
n,n,s,s,e
l,w,s,s,e
p,n,s,s,p
l,n,s,s,e
a,p,s,s,e
a,g,s,s,e
p,k,s,s,p
a,w,s,s,e
a,k,s,s,e
l,n,s,s,e
l,w,s,s,e
l,k,s,s,e
a,w,s,s,e
a,w,s,s,e
a,n,s,s,e
l,p,s,y,e
l,k,s,s,e
a,n,s,s,e
p,n,s,s,p
l,w,s,s,e
a,g,s,s,e
p,w,s,s,p
l,n,s,s,e
l,w,s,s,e
a,n,s,s,e
l,g,s,s,e
n,p,s,s,e
a,w,s,y,e
l,n,s,s,e
n,g,s,s,e
l,n,s,y,e
a,k,s,s,e
a,n,s,s,e
a,g,s,s,e
a,p,s,s,e
l,g,s,s,e
n,n,s,f,e
l,n,s,s,e
a,n,s,s,e
n,n,s,f,e
n,g,s,s,e
n,h,f,f,e
a,p,s,y,e
a,k,s,s,e
a,k,s,s,e
l,w,s,y,e
n,g,s,s,e
a,p,s,y,e
p,k,s,s,p
a,p,s,y,e
a,w,s,s,e
n,h,s,f,e
n,p,f,f,e
n,k,f,s,e
a,n,s,y,e
a,w,s,s,e
n,p,s,s,e
a,w,s,y,e
a,p,s,s,e
a,g,s,s,e
n,n,s,s,e
a,w,s,y,e
l,n,s,y,e
a,w,s,s,e
n,n,s,s,e
a,k,s,s,e
l,n,s,s,e
n,k,s,s,e
l,n,s,s,e
l,k,s,s,e
a,k,s,s,e
p,p,s,s,p
n,k,f,s,e
a,w,s,s,e
a,g,s,s,e
n,n,s,s,e
p,w,s,s,p
l,w,s,y,e
n,n,s,s,e
l,n,s,s,e
a,w,s,s,e
a,n,s,s,e
l,g,s,s,e
a,n,s,s,e
n,k,s,s,e
a,w,s,y,e
n,h,f,f,e
l,k,s,s,e
l,w,s,s,e
n,n,s,s,e
p,p,s,s,p
l,w,s,s,e
a,n,s,s,e
p,p,s,s,p
l,w,s,s,e
l,k,s,s,e
l,n,s,s,e
l,n,s,s,e
a,g,s,s,e
a,g,s,s,e
l,w,s,y,e
a,w,s,s,e
n,n,f,f,e
l,n,s,y,e
l,n,s,y,e
p,k,s,s,p
a,w,s,s,e
l,p,s,s,e
p,w,s,s,p
l,k,s,s,e
n,h,f,f,e
l,n,s,s,e
a,w,s,s,e
p,p,s,s,p
l,w,s,y,e
l,n,s,s,e
a,n,s,s,e
a,n,s,y,e
a,k,s,s,e
n,p,f,f,e
n,n,s,s,e
a,g,s,s,e
l,n,s,y,e
l,g,s,s,e
l,w,s,s,e
l,n,s,s,e
a,w,s,s,e
a,n,s,s,e
l,g,s,s,e
l,k,s,s,e
a,p,s,y,e
l,n,s,s,e
l,g,s,s,e
a,p,s,y,e
l,n,s,s,e
l,w,s,s,e
l,p,s,y,e
l,n,s,s,e
l,n,s,y,e
l,w,s,s,e
n,n,s,s,e
l,k,s,s,e
l,g,s,s,e
l,g,s,s,e
l,p,s,s,e
l,g,s,s,e
n,h,s,f,e
a,k,s,s,e
l,w,s,s,e
a,n,s,y,e
a,w,s,y,e
a,k,s,s,e
l,n,s,y,e
a,g,s,s,e
a,w,s,s,e
n,k,s,s,e
a,p,s,y,e
a,g,s,s,e
l,g,s,s,e
l,g,s,s,e
a,w,s,y,e
l,g,s,s,e
a,w,s,s,e
a,n,s,s,e
n,k,s,s,e
l,n,s,s,e
n,k,s,s,e
n,p,s,s,e
a,w,s,s,e
a,p,s,s,e
l,n,s,s,e
a,k,s,s,e
l,g,s,s,e
l,p,s,s,e
n,g,s,s,e
a,w,s,s,e
a,p,s,y,e
l,w,s,s,e
n,p,s,s,e
l,n,s,y,e
a,n,s,y,e
a,n,s,s,e
p,p,s,s,p
p,k,s,s,p
l,w,s,y,e
a,w,s,y,e
a,k,s,s,e
n,h,f,s,e
a,p,s,y,e
a,n,s,s,e
l,w,s,s,e
